Wall time,Step,Value
1693486914.9866016,20480,40.8804817199707
1693486951.2281902,40960,68.61487579345703
1693486988.5774918,61440,113.7719955444336
1693487031.9641535,81920,193.32347106933594
1693487073.7619126,102400,263.4547424316406
1693487115.6733458,122880,367.1094970703125
1693487160.5440798,143360,433.8781433105469
1693487201.5244644,163840,475.6199645996094
1693487242.1051297,184320,520.4810180664062
1693487286.2899055,204800,596.0647583007812
1693487332.5031807,225280,564.478271484375
1693487376.885835,245760,570.7973022460938
1693487422.4401407,266240,624.9798583984375
1693487466.729891,286720,608.6954956054688
1693487508.453266,307200,631.6721801757812
1693487555.8090487,327680,746.606689453125
1693487600.8784106,348160,843.7627563476562
1693487647.0423598,368640,901.917724609375
1693487686.9134412,389120,976.2293090820312
