Wall time,Step,Value
1693506430.0021174,20480,-14.080225944519043
1693506495.5913525,40960,102.93431091308594
1693506568.557701,61440,186.84593200683594
1693506640.594528,81920,324.1844787597656
1693506709.7752848,102400,467.22491455078125
1693506779.081882,122880,719.8853759765625
1693506854.1718872,143360,971.17578125
1693506914.1728606,163840,1211.7401123046875
1693506984.2148304,184320,1417.326416015625
1693507073.5615854,204800,1561.041748046875
1693507155.4725637,225280,1702.931884765625
1693507239.2188203,245760,1799.9937744140625
1693507318.438329,266240,1908.9891357421875
1693507392.9971228,286720,2010.89697265625
1693507449.9235284,307200,2099.569580078125
1693507503.97107,327680,2188.643310546875
1693507560.8722193,348160,2270.85888671875
1693507616.4765232,368640,2313.1640625
1693507671.9907653,389120,2378.873291015625
