Wall time,Step,Value
1693497045.849125,20480,-18.29467010498047
1693497116.8194566,40960,84.7656021118164
1693497182.2749035,61440,174.1815185546875
1693497242.7653883,81920,254.7001953125
1693497303.4536335,102400,342.1759948730469
1693497358.4890063,122880,531.9278564453125
1693497415.8399053,143360,734.28564453125
1693497482.2475684,163840,888.2015991210938
1693497550.3744369,184320,1040.2247314453125
1693497610.8370135,204800,1172.5303955078125
1693497670.4800255,225280,1256.2982177734375
1693497728.8489907,245760,1291.072509765625
1693497787.5642862,266240,1382.451904296875
1693497846.0882328,286720,1429.2232666015625
1693497904.9854794,307200,1515.628173828125
1693497964.1610396,327680,1568.1944580078125
1693498022.4761734,348160,1642.3046875
1693498080.6465147,368640,1683.0565185546875
1693498139.2499163,389120,1780.5596923828125
