Wall time,Step,Value
1693494351.736762,20480,-12.728185653686523
1693494412.3512883,40960,102.11028289794922
1693494465.575809,61440,200.93045043945312
1693494538.4053607,81920,298.808837890625
1693494605.034981,102400,392.8686218261719
1693494664.5916996,122880,574.28076171875
1693494722.474981,143360,752.5192260742188
1693494794.4511852,163840,936.5093994140625
1693494861.3175251,184320,1109.5372314453125
1693494928.7413352,204800,1277.03515625
1693494995.7536848,225280,1446.200927734375
1693495059.0740695,245760,1591.51611328125
1693495125.1405227,266240,1713.2529296875
1693495186.8364236,286720,1826.84228515625
1693495251.6462107,307200,1872.579345703125
1693495318.739757,327680,1926.4554443359375
1693495381.2340226,348160,1968.0001220703125
1693495448.2829137,368640,2024.8956298828125
1693495509.056061,389120,2084.02978515625
