Wall time,Step,Value
1693500174.3042219,20480,-17.262985229492188
1693500244.7487717,40960,125.40425872802734
1693500307.2624123,61440,178.0821533203125
1693500373.120831,81920,275.495849609375
1693500442.0650985,102400,409.6367492675781
1693500508.693606,122880,642.4295654296875
1693500582.3691032,143360,864.0812377929688
1693500657.6734285,163840,1099.6090087890625
1693500721.4346933,184320,1296.65234375
1693500803.3444443,204800,1445.4322509765625
1693500873.6866448,225280,1538.51171875
1693500944.78364,245760,1583.01611328125
1693501013.8591123,266240,1617.6514892578125
1693501088.339413,286720,1673.44091796875
1693501143.7918754,307200,1738.4749755859375
1693501200.8563666,327680,1835.72900390625
1693501256.2883778,348160,1929.8427734375
1693501312.7233207,368640,2053.857421875
1693501367.3203766,389120,2125.735595703125
